EmployeeNumber,Age,Tenure,Turnover,HourlyRate ,HoursWeekly,CompensationType,AnnualSalary,DrivingCommuterDistance,JobRoleArea,Gender,MaritalStatus,NumCompaniesPreviouslyWorked,AnnualProfessionalDevHrs,PaycheckMethod,TextMessageOptIn
2224,44,8,No,$97.13 ,40,Salary,202030.4,86,Research,Female,Single,5,13,Mailed Check,N/A
2225,38,10,No,$29.87 ,40,Salary,62129.6,36,Information Technology,Male,Married,2,25,Mail Check,Yes
2226,49,20,Yes,$82.85 ,40,Salary,172328,-2,Marketing,Female,Divorced,6,16,Mail Check,Yes
2227,43,5,No,$94.32 ,40,Salary,336285.6,70,Marketing,Female,Divorced,7,23,Mailed Check,Yes
2228,57,11,Yes,$62.80 ,40,Salary,130624,57,Human Resources,Male,Single,8,25,DirectDeposit,N/A
2229,53,19,Yes,$92.53 ,40,Salary,332462.4,34,Healthcare,Female,Single,1,6,Mail Check,N/A
2230,37,8,No,$63.83 ,40,Salary,132766.4,37,Healthcare,Male,Married,6,N/A,Mail Check,Yes
2231,41,7,No,$92.30 ,40,Salary,333384,0,Research,Male,Married,5,17,Mail Check,Yes
2232,42,3,No,$50.92 ,40,Salary,105913.6,9,Sales,Female,Divorced,1,19,Mail Check,Yes
2233,59,14,Yes,$61.24 ,40,Salary,127379.2,89,Marketing,Female,Divorced,1,11,DirectDeposit,Yes
2234,54,7,Yes,$33.05 ,40,Salary,39624,-7,Sales,Female,Single,3,12,Mail_Check,Yes
2235,36,3,No,$97.65 ,40,Salary,203112,61,Laboratory,Male,Single,4,N/A,DirectDeposit,No
2236,36,9,No,$26.65 ,40,Salary,55432,15,Sales,Male,Divorced,2,N/A,Mail_Check,N/A
2237,59,11,Yes,$54.04 ,40,Salary,112403.2,-11,Sales,Female,Married,N/A,N/A,Mail Check,Yes
2238,60,12,Yes,$41.06 ,40,Salary,85404.8,69,Healthcare,Female,Single,3,18,Mail Check,Yes
2239,49,6,No,$68.75 ,40,Salary,143000,250,Laboratory,Female,Married,3,22,Mail Check,Yes
2240,25,3,No,$20.03 ,40,Salary,41662.4,51,Manufacturing,Female,Single,2,5,Mail Check,Yes
2241,54,12,Yes,$55.72 ,40,Salary,115897.6,35,Human Resources,Female,Single,8,14,Mail Check,N/A
2242,21,1,Yes,$21.72 ,40,Salary,45177.6,5,Marketing,Female,Married,2,15,Mail Check,N/A
2243,47,20,No,$96.83 ,40,Salary,201406.4,250,Manufacturing,Male,Divorced,8,11,Mailed Check,Yes
2244,58,16,No,$88.33 ,40,Salary,283726.4,6,Research,Male,Single,6,21,Mailed Check,N/A
2245,45,19,No,$56.11 ,40,Salary,116708.8,34,Marketing,Male,Married,N/A,12,Direct_Deposit,Yes
2246,34,9,No,$29.38 ,40,Salary,63931.2,62,Information Technology,Male,Married,5,9,Mail Check,Yes
2247,42,7,No,$96.78 ,40,Salary,201302.4,25,Manufacturing,Female,Divorced,8,8,Mailed Check,Yes
2248,56,14,Yes,$82.23 ,40,Salary,171038.4,67,Sales,Female,Married,4,N/A,Mail Check,Yes
2249,41,7,Yes,$49.03 ,40,Salary,103382.4,-1,Marketing,Female,Married,N/A,5,Direct_Deposit,Yes
2250,60,13,Yes,$54.83 ,40,Salary,114046.4,25,Research,Female,Married,4,12,Mail Check,Yes
2251,43,9,Yes,$35.38 ,40,Salary,73590.4,63,Marketing,Male,Divorced,2,12,Direct_Deposit,Yes
2252,42,3,No,$77.91 ,40,Salary,162052.8,32,Manufacturing,Female,Divorced,6,22,Mail Check,Yes
2253,44,10,No,$87.57 ,40,Salary,282145.6,86,Research,Female,Single,6,10,DirectDeposit,N/A
2254,59,14,Yes,$52.73 ,40,Salary,109678.4,64,Laboratory,Male,Single,7,N/A,Mail Check,N/A
2255,59,5,No,$47.11 ,40,Salary,97988.8,55,Research,Male,Married,5,11,Mailed Check,Yes
2256,54,5,No,$52.49 ,40,Salary,109179.2,1,Manufacturing,Female,Divorced,5,14,Direct_Deposit,Yes
2257,42,1,No,$74.33 ,40,Salary,154606.4,34,Manufacturing,Male,Married,4,11,Mail Check,Yes
2258,42,4,Yes,$96.35 ,40,Salary,200408,38,Sales,Female,Married,N/A,19,Mailed Check,Yes
2259,44,10,No,$80.15 ,40,Salary,166712,54,Human Resources,Female,Divorced,7,5,Mail Check,Yes
2260,60,19,Yes,$93.32 ,40,Salary,334105.6,41,Human Resources,Female,Married,9,13,DirectDeposit,Yes
2261,39,3,Yes,$26.01 ,40,Salary,54100.8,13,Research,Female,Married,3,N/A,Mail_Check,N/A
2262,43,4,Yes,$59.96 ,40,Salary,124716.8,60,Marketing,Male,Married,9,N/A,Mail Check,Yes
2263,56,10,No,$89.53 ,40,Salary,286222.4,55,Research,Female,Single,N/A,N/A,DirectDeposit,N/A
2264,36,2,Yes,$56.93 ,40,Salary,128414.4,36,Marketing,Female,Single,1,14,Mail Check,N/A
2265,57,15,No,$90.88 ,40,Salary,289030.4,-3,Research,Male,Divorced,7,N/A,Mailed Check,Yes
2266,47,14,Yes,$57.69 ,40,Salary,133995.2,-8,Sales,Male,Divorced,N/A,15,Mail Check,Yes
2267,41,7,Yes,$64.81 ,40,Salary,134804.8,43,Human Resources,Female,Divorced,3,18,Mail Check,Yes
2268,41,9,Yes,$64.38 ,40,Salary,133910.4,39,Information Technology,Female,Single,4,13,Mail Check,N/A
2269,43,2,No,$70.50 ,40,Salary,146640,25,Sales,Female,Married,4,14,DirectDeposit,Yes
2270,52,16,Yes,$70.79 ,40,Salary,147243.2,76,Information Technology,Female,Divorced,3,6,Mail Check,Yes
2271,49,18,No,$45.63 ,40,Salary,94910.4,-13,Laboratory,Female,Divorced,6,19,Mailed Check,Yes
2272,61,10,No,$93.07 ,40,Salary,333585.6,36,Research,Female,Married,4,16,Mailed Check,Yes
2273,43,2,No,$44.44 ,40,Salary,92435.2,67,Sales,Male,Single,9,8,Mailed Check,N/A
2274,29,1,No,$25.33 ,40,Salary,52395.2,-7,Sales,Female,Married,2,24,Direct Deposit,N/A
2275,58,20,No,$52.99 ,40,Salary,110233.2,47,Sales,Male,Married,3,N/A,Direct_Deposit,Yes
2276,31,9,Yes,$27.83 ,40,Salary,57886.4,47,Marketing,Female,Divorced,1,N/A,Mailed Check,Yes
2277,39,7,Yes,$80.50 ,40,Salary,167440,250,Human Resources,Female,Single,2,25,Mail Check,N/A
2278,57,10,No,$40.83 ,40,Salary,84926.4,20,Human Resources,Female,Single,2,19,Mail Check,Yes
2279,44,8,Yes,$33.40 ,40,Salary,40352,8,Healthcare,Female,Single,3,N/A,Mail_Check,Yes
2280,56,17,No,$86.49 ,40,Salary,179899.2,55,Sales,Female,Divorced,1,N/A,Mail Check,Yes
2281,47,13,No,$65.75 ,40,Salary,136760,42,Research,Female,Single,4,10,Mail Check,N/A
2282,44,14,Yes,$35.88 ,40,Salary,74630.4,52,Information Technology,Female,Single,9,7,Mail Check,Yes
2283,47,15,No,$38.10 ,40,Salary,79248,74,Research,Male,Single,4,6,Mailed Check,Yes
2284,44,9,Yes,$47.04 ,40,Salary,97843.2,250,Healthcare,Male,Divorced,4,22,Mail Check,Yes
2285,48,6,Yes,$73.10 ,40,Salary,152048,43,Laboratory,Female,Single,8,23,Mail Check,N/A
2286,47,8,Yes,$58.31 ,40,Salary,121284.8,250,Sales,Female,Divorced,1,N/A,Mail Check,Yes
2287,40,6,No,$29.51 ,40,Salary,61380.8,50,Human Resources,Male,Married,9,10,Direct Deposit,Yes
2288,37,2,Yes,$62.26 ,40,Salary,129500.8,28,Laboratory,Female,Divorced,1,21,Mailed Check,Yes
2289,56,10,Yes,$49.47 ,40,Salary,102897.6,38,Sales,Female,Divorced,1,22,Direct_Deposit,Yes
2290,60,13,No,$40.74 ,40,Salary,84739.2,81,Human Resources,Female,Married,5,17,Mailed Check,Yes
2291,61,17,Yes,$79.55 ,40,Salary,165464,-11,Sales,Female,Single,5,N/A,DirectDeposit,N/A
2292,36,2,No,$82.29 ,40,Salary,171163.2,13,Healthcare,Female,Single,1,6,Mail Check,N/A
2293,39,10,No,$87.86 ,40,Salary,282748.8,41,Sales,Female,Married,5,23,DirectDeposit,Yes
2294,57,18,No,$86.88 ,40,Salary,280710.4,78,Information Technology,Female,Divorced,3,6,Mail Check,Yes
2295,49,10,No,$66.30 ,40,Salary,137904,44,Laboratory,Female,Divorced,N/A,8,Mailed Check,Yes
2296,36,7,Yes,$68.07 ,40,Salary,141585.6,81,Healthcare,Prefer Not to Answer,Divorced,6,N/A,Mail Check,Yes
2297,43,3,No,$52.80 ,40,Salary,109824,4,Manufacturing,Male,Single,4,7,Mail Check,N/A
2298,25,3,Yes,$22.49 ,40,Salary,46779.2,33,Research,Male,Married,3,7,Mailed Check,N/A
2299,34,6,Yes,$24.64 ,40,Salary,51251.2,57,Research,Female,Single,6,17,Mail_Check,Yes
2300,44,14,Yes,$54.51 ,40,Salary,113380.8,83,Sales,Female,Married,N/A,13,Mail Check,Yes
2301,28,2,No,$24.14 ,40,Salary,50211.2,27,Human Resources,Female,Divorced,3,N/A,Mail Check,Yes
2302,45,20,Yes,$97.65 ,40,Salary,203112,55,Research,Female,Divorced,2,19,Mailed Check,Yes
2303,39,9,Yes,$92.05 ,40,Salary,331464,-11,Sales,Female,Single,4,11,Mail Check,N/A
2304,28,6,Yes,$23.77 ,40,Salary,49441.6,250,Human Resources,Female,Married,3,N/A,Mail Check,Yes
2305,58,6,Yes,$56.85 ,40,Salary,128248,250,Human Resources,Male,Married,8,15,Mailed Check,Yes
2306,33,4,No,$30.94 ,40,Salary,64355.2,41,Manufacturing,Male,Divorced,1,8,Mail Check,Yes
2307,40,4,No,$29.15 ,40,Salary,60632,33,Healthcare,Male,Single,1,22,Mail Check,Yes
2308,22,1,Yes,$20.28 ,40,Salary,42282.4,1,Research,Female,Married,3,20,Mail_Check,N/A
2309,61,19,No,$53.09 ,40,Salary,110427.2,60,Healthcare,Female,Single,3,11,Direct_Deposit,N/A
2310,34,6,No,$25.58 ,40,Salary,53206.4,22,Healthcare,Male,Married,6,19,Mail_Check,N/A
2311,21,1,Yes,$20.40 ,40,Salary,42432,250,Manufacturing,Male,Single,3,17,Mailed Check,Yes
2312,24,1,No,$22.14 ,40,Salary,46051.2,58,Manufacturing,Female,Married,1,20,Mailed Check,Yes
2313,35,10,No,$24.46 ,40,Salary,50876.8,77,Manufacturing,Female,Single,4,6,Mailed Check,Yes
2314,23,1,Yes,$20.93 ,40,Salary,43534.4,42,Sales,Female,Single,1,24,Direct_Deposit,Yes
2315,40,6,No,$42.43 ,40,Salary,88254.4,57,Research,Male,Single,9,14,Mail Check,Yes
2316,23,1,Yes,$20.98 ,40,Salary,43638.4,50,Sales,Male,Single,2,12,Mail_Check,N/A
2317,48,11,Yes,$72.61 ,40,Salary,151028.8,-15,Marketing,Female,Single,N/A,9,Mailed Check,N/A
2318,41,7,Yes,$32.26 ,40,Salary,67100.8,64,Manufacturing,Female,Married,3,10,Mailed Check,Yes
2319,39,4,Yes,$64.56 ,40,Salary,134284.8,-2,Laboratory,Female,Married,6,23,DirectDeposit,Yes
2320,58,11,No,$43.67 ,40,Salary,90833.6,75,Sales,Female,Married,8,9,Direct_Deposit,Yes
2321,32,10,Yes,$31.03 ,40,Salary,64542.4,-14,Research,Female,Divorced,2,12,Mailed Check,Yes
2322,40,10,Yes,$33.29 ,40,Salary,69243.2,-10,Laboratory,Male,Single,3,N/A,Direct_Deposit,Yes
2323,37,2,No,$79.83 ,40,Salary,166046.4,250,Marketing,Female,Married,2,N/A,Mail Check,Yes
2324,45,12,No,$33.06 ,40,Salary,68764.8,54,Sales,Female,Single,7,N/A,Direct_Deposit,Yes
2325,35,10,Yes,$22.87 ,40,Salary,47569.6,-1,Laboratory,Male,Divorced,1,25,Mail Check,Yes
2326,61,16,Yes,$92.85 ,40,Salary,333128,44,Human Resources,Female,Married,3,19,Mail Check,Yes
2327,39,2,Yes,$96.95 ,40,Salary,201656,17,Sales,Female,Single,4,21,DirectDeposit,N/A
2328,50,11,Yes,$95.33 ,40,Salary,337995.2,72,Marketing,Female,Single,2,18,Mailed Check,N/A
2329,30,1,Yes,$22.90 ,40,Salary,47632,5,Research,Female,Divorced,3,25,Mail Check,Yes
2330,43,7,No,$92.28 ,40,Salary,333342.4,72,Sales,Female,Married,7,18,Mail Check,Yes
2331,38,8,Yes,$30.88 ,40,Salary,64230.4,250,Marketing,Male,Married,4,20,Mail Check,Yes
2332,30,4,Yes,$28.32 ,40,Salary,58905.6,9,Research,Female,Divorced,1,17,Mail Check,Yes
2333,51,7,No,$31.63 ,40,Salary,65790.4,25,Marketing,Male,Divorced,9,21,Mail Check,N/A
2334,46,10,No,$34.67 ,40,Salary,72113.6,67,Sales,Female,Divorced,7,10,Mailed Check,Yes
2335,53,8,Yes,$93.26 ,40,Salary,333980.8,-12,Research,Male,Married,3,5,Mail Check,Yes
2336,53,5,No,$60.04 ,40,Salary,124883.2,55,Human Resources,Male,Single,8,12,Mail Check,N/A
2337,47,16,No,$95.75 ,40,Salary,339160,81,Marketing,Male,Divorced,3,20,Mailed Check,Yes
2338,55,18,No,$32.01 ,40,Salary,66580.8,33,Information Technology,Female,Married,5,5,Mailed Check,N/A
2339,36,4,Yes,$85.51 ,40,Salary,177860.8,45,Laboratory,Female,Divorced,3,14,Mail Check,Yes
2340,40,3,No,$97.86 ,40,Salary,203548.8,38,Research,Female,Divorced,2,14,Mailed Check,Yes
2341,43,6,Yes,$92.69 ,40,Salary,332795.2,16,Information Technology,Male,Married,3,16,DirectDeposit,Yes
2342,52,12,Yes,$94.13 ,40,Salary,335790.4,11,Laboratory,Female,Divorced,7,24,Mail Check,Yes
2343,46,10,Yes,$36.64 ,40,Salary,76211.2,-2,Sales,Male,Single,7,21,Mail Check,Yes
2344,31,2,No,$28.98 ,40,Salary,39478.4,63,Marketing,Male,Divorced,1,17,Mailed Check,N/A
2345,56,13,No,$59.53 ,40,Salary,123822.4,54,Human Resources,Female,Single,N/A,6,Mail Check,N/A
2346,44,11,No,$33.38 ,40,Salary,40310.4,3,Research,Female,Divorced,2,11,Mail_Check,N/A
2347,48,19,Yes,$53.77 ,40,Salary,112841.6,69,Research,Male,Married,4,11,Mail Check,Yes
2348,32,5,No,$31.07 ,40,Salary,64625.6,34,Marketing,Female,Married,2,N/A,Mail Check,Yes
2349,51,11,No,$50.25 ,40,Salary,104520,65,Research,Female,Married,N/A,11,Mail Check,Yes
2350,37,1,No,$82.79 ,40,Salary,172203.2,35,Human Resources,Female,Married,3,19,DirectDeposit,Yes
2351,23,1,Yes,$21.33 ,40,Salary,44366.4,-6,Manufacturing,Male,Married,2,18,Mailed Check,N/A
2352,59,7,No,$66.23 ,40,Salary,137758.4,54,Marketing,Female,Single,7,21,Mail Check,N/A
2353,45,16,No,$76.48 ,40,Salary,159078.4,14,Manufacturing,Male,Single,1,20,Mail Check,N/A
2354,48,18,Yes,$72.89 ,40,Salary,151611.2,88,Human Resources,Female,Divorced,1,7,Mail Check,Yes
2355,35,3,Yes,$24.92 ,40,Salary,52833.6,84,Healthcare,Female,Divorced,6,N/A,Mail Check,Yes
2356,53,19,Yes,$72.42 ,40,Salary,150633.6,76,Human Resources,Female,Married,3,17,Mail Check,Yes
2357,51,15,No,$32.65 ,40,Salary,67912,65,Sales,Male,Single,4,10,Direct_Deposit,Yes
2358,50,14,Yes,$74.53 ,40,Salary,155022.4,56,Research,Female,Divorced,8,20,Mailed Check,Yes
2359,23,1,Yes,$20.96 ,40,Salary,43596.8,8,Research,Female,Married,3,6,Mail_Check,N/A
2360,37,3,Yes,$40.48 ,40,Salary,84338.4,-9,Sales,Female,Divorced,6,10,Mailed Check,Yes
2361,32,7,Yes,$27.98 ,40,Salary,58338.4,-13,Sales,Female,Married,3,6,Mailed Check,Yes
2362,58,14,No,$68.37 ,40,Salary,142209.6,-2,Research,Male,Divorced,8,19,Mailed Check,Yes
2363,52,6,Yes,$88.32 ,40,Salary,283705.6,44,Human Resources,Female,Single,N/A,20,DirectDeposit,N/A
2364,56,19,No,$65.55 ,40,Salary,136344,0,Healthcare,Male,Divorced,5,21,Mail Check,Yes
2365,40,3,No,$62.00 ,40,Salary,128960,43,Information Technology,Female,Married,3,N/A,Mailed Check,Yes
2366,29,4,No,$24.92 ,40,Salary,52833.6,41,Marketing,Male,Single,2,N/A,Direct_Deposit,Yes
2367,32,1,Yes,$27.98 ,40,Salary,58338.4,67,Information Technology,Male,Single,3,21,Mail Check,Yes
2368,21,1,Yes,$22.09 ,40,Salary,4947.2,76,Research,Male,Single,3,N/A,Mail Check,Yes
2369,54,8,Yes,$47.26 ,40,Salary,98300.8,61,Research,Female,Single,2,N/A,Mailed Check,N/A
2370,35,6,No,$30.56 ,40,Salary,63564.8,1,Healthcare,Female,Divorced,3,17,Mail Check,Yes
2371,46,7,Yes,$82.15 ,40,Salary,170872,41,Healthcare,Female,Divorced,6,19,Mail Check,Yes
2372,56,6,Yes,$94.72 ,40,Salary,337017.6,86,Sales,Male,Married,5,N/A,Mail Check,Yes
2373,52,15,Yes,$57.03 ,40,Salary,128622.4,43,Sales,Male,Single,2,13,DirectDeposit,N/A
2374,51,16,No,$88.28 ,40,Salary,283414.4,62,Sales,Female,Married,2,23,DirectDeposit,Yes
2375,45,10,No,$35.13 ,40,Salary,73070.4,41,Healthcare,Female,Married,4,5,Direct_Deposit,Yes
2376,56,7,Yes,$51.93 ,40,Salary,108014.4,62,Sales,Male,Married,5,23,Mail Check,Yes
2377,54,6,Yes,$34.05 ,40,Salary,70824,7,Marketing,Male,Single,2,20,Mailed Check,Yes
2378,30,1,Yes,$30.72 ,40,Salary,63897.6,-6,Information Technology,Female,Single,2,21,Mail Check,Yes
2379,61,10,Yes,$61.16 ,40,Salary,127212.8,28,Healthcare,Female,Single,5,12,Mail Check,N/A
2380,49,7,Yes,$90.53 ,40,Salary,288302.4,23,Research,Male,Single,6,16,Mailed Check,N/A
2381,52,9,No,$63.89 ,40,Salary,132891.2,9,Human Resources,Female,Married,3,9,Mail Check,Yes
2382,48,6,No,$33.29 ,40,Salary,69243.2,17,Information Technology,Female,Single,8,7,Mailed Check,Yes
2383,41,7,Yes,$33.98 ,40,Salary,70678.4,21,Marketing,Female,Married,1,18,Mail Check,Yes
2384,39,5,No,$41.54 ,40,Salary,86403.2,78,Information Technology,Female,Single,3,17,Mailed Check,Yes
2385,41,7,Yes,$31.99 ,40,Salary,66539.2,9,Research,Male,Married,6,N/A,Direct_Deposit,Yes
2386,51,11,Yes,$88.33 ,40,Salary,283435.2,56,Human Resources,Prefer Not to Answer,Single,7,N/A,Mail Check,N/A
2387,31,3,Yes,$25.02 ,40,Salary,52041.6,-3,Healthcare,Female,Single,2,8,Direct_Deposit,Yes
2388,42,1,Yes,$36.96 ,40,Salary,76876.8,4,Research,Male,Single,5,5,Mailed Check,Yes
2389,46,10,No,$76.36 ,40,Salary,158828.8,59,Research,Female,Divorced,2,14,Mail Check,Yes
2390,36,2,No,$29.33 ,40,Salary,60715.2,56,Laboratory,Female,Divorced,6,N/A,Mailed Check,Yes
2391,37,7,No,$80.56 ,40,Salary,167564.8,49,Sales,Female,Single,3,17,Mail Check,N/A
2392,32,7,No,$31.17 ,40,Salary,64833.6,34,Laboratory,Female,Married,1,11,Mail Check,Yes
2393,30,6,Yes,$25.85 ,40,Salary,53768,37,Healthcare,Male,Married,1,24,Mail_Check,N/A
2394,60,13,No,$39.86 ,40,Salary,82908.8,40,Research,Female,Single,2,N/A,Mail Check,Yes
2395,37,3,Yes,$55.28 ,40,Salary,114774.4,43,Marketing,Female,Married,4,N/A,Direct_Deposit,Yes
2396,57,6,Yes,$93.03 ,40,Salary,333502.4,80,Laboratory,Female,Divorced,3,23,Mail Check,Yes
2397,51,7,No,$79.28 ,40,Salary,164694.4,56,Research,Female,Single,N/A,22,Mail Check,N/A
2398,45,19,No,$86.26 ,40,Salary,179420.8,2,Marketing,Male,Married,N/A,5,Mail Check,Yes
2399,24,1,Yes,$22.28 ,40,Salary,46134.4,74,Sales,Female,Married,1,N/A,Direct Deposit,N/A
2400,25,3,No,$20.79 ,40,Salary,43243.2,88,Manufacturing,Female,Single,2,20,Mail_Check,Yes
2401,44,13,Yes,$95.57 ,40,Salary,338785.6,8,Laboratory,Female,Divorced,4,9,Mailed Check,Yes
2402,36,2,Yes,$47.45 ,40,Salary,98696,-10,Manufacturing,Female,Married,5,25,Mail Check,Yes
2403,38,3,Yes,$29.49 ,40,Salary,-28660.8,42,Marketing,Male,Divorced,6,N/A,Mail Check,Yes
2404,35,7,Yes,$22.82 ,40,Salary,47465.6,8,Information Technology,Female,Married,4,N/A,Mailed Check,Yes
2405,45,19,No,$31.70 ,40,Salary,65936,33,Sales,Male,Married,2,9,Direct_Deposit,Yes
2406,52,14,Yes,$53.12 ,40,Salary,110489.6,250,Laboratory,Male,Divorced,1,5,Mailed Check,Yes
2407,59,19,No,$72.99 ,40,Salary,152833.2,58,Laboratory,Male,Married,1,19,Mailed Check,Yes
2408,23,1,Yes,$20.94 ,40,Salary,43555.2,75,Marketing,Female,Single,3,17,Mail Check,N/A
2409,42,5,No,$63.24 ,40,Salary,131539.2,24,Human Resources,Male,Divorced,2,8,DirectDeposit,Yes
2410,46,12,Yes,$41.65 ,40,Salary,86632,81,Sales,Male,Single,7,19,Mail Check,Yes
2411,59,12,No,$53.05 ,40,Salary,110344,77,Sales,Female,Single,7,6,Mailed Check,N/A
2412,46,8,Yes,$64.68 ,40,Salary,134534.4,33,Research,Female,Married,5,15,Mail Check,Yes
2413,53,7,No,$38.30 ,40,Salary,79664,84,Research,Female,Divorced,6,20,Mail Check,Yes
2414,55,19,No,$33.96 ,40,Salary,41516.8,53,Marketing,Male,Married,4,7,Mail_Check,N/A
2415,60,17,No,$77.39 ,40,Salary,160971.2,75,Manufacturing,Female,Divorced,9,10,Mail Check,Yes
2416,58,19,No,$31.94 ,40,Salary,66435.2,250,Research,Male,Divorced,N/A,16,Mail Check,N/A
2417,59,17,No,$79.70 ,40,Salary,165776,11,Healthcare,Female,Divorced,3,N/A,Mail Check,Yes
2418,49,13,Yes,$35.25 ,40,Salary,73320,-2,Research,Female,Married,8,N/A,Direct_Deposit,Yes
2419,37,5,No,$92.67 ,40,Salary,332753.6,82,Manufacturing,Female,Divorced,2,10,Mailed Check,Yes
2420,48,16,No,$80.83 ,40,Salary,168126.4,28,Manufacturing,Female,Divorced,8,20,Mail Check,Yes
2421,39,6,No,$71.16 ,40,Salary,148012.8,-7,Human Resources,Female,Divorced,4,10,DirectDeposit,Yes
2422,35,3,No,$30.33 ,40,Salary,62795.2,87,Research,Male,Divorced,3,11,Mail Check,Yes
2423,36,2,Yes,$28.12 ,40,Salary,58489.6,66,Human Resources,Male,Single,4,22,Mail_Check,Yes
2424,39,4,No,$30.80 ,40,Salary,64064,27,Research,Male,Divorced,3,25,Mail Check,Yes
2425,54,5,No,$76.74 ,40,Salary,159633.2,27,Research,Female,Married,6,6,Mailed Check,Yes
2426,40,8,Yes,$34.25 ,40,Salary,71240,250,Information Technology,Male,Divorced,9,23,Mail Check,N/A
2427,52,5,No,$96.94 ,40,Salary,201635.2,1,Sales,Female,Single,6,22,DirectDeposit,N/A
2428,33,9,Yes,$29.95 ,40,Salary,62296,38,Sales,Male,Single,5,11,Mail Check,Yes
2429,57,5,No,$63.79 ,40,Salary,132683.2,4,Research,Female,Divorced,6,14,Mail Check,Yes
2430,39,6,Yes,$51.59 ,40,Salary,107307.2,-9,Sales,Female,Married,1,N/A,Direct_Deposit,Yes
2431,39,7,No,$63.63 ,40,Salary,132350.4,42,Information Technology,Male,Divorced,4,13,Mail Check,Yes
2432,32,8,No,$25.41 ,40,Salary,52852.8,83,Manufacturing,Female,Single,3,N/A,Mail_Check,Yes
2433,40,5,Yes,$34.77 ,40,Salary,72321.6,41,Laboratory,Female,Single,N/A,N/A,Direct_Deposit,Yes
2434,51,17,Yes,$86.28 ,40,Salary,179254.4,27,Sales,Female,Married,8,N/A,DirectDeposit,Yes
2435,48,14,No,$47.36 ,40,Salary,98508.8,-12,Manufacturing,Male,Divorced,2,7,Mail Check,Yes
2436,55,12,No,$77.87 ,40,Salary,163369.6,87,Healthcare,Female,Divorced,N/A,14,DirectDeposit,Yes
2437,39,6,Yes,$61.33 ,40,Salary,127275.2,250,Human Resources,Female,Divorced,5,14,Mail Check,Yes
2438,41,9,Yes,$40.53 ,40,Salary,84302.4,68,Laboratory,Male,Single,2,22,Mailed Check,Yes
2439,46,16,No,$34.72 ,40,Salary,72217.6,62,Healthcare,Female,Married,7,13,Mail Check,Yes
2440,57,18,No,$32.77 ,40,Salary,68161.6,56,Manufacturing,Female,Married,2,6,Mail Check,Yes
2441,37,1,Yes,$67.02 ,40,Salary,139401.6,53,Sales,Female,Married,4,25,Mail Check,Yes
2442,38,2,Yes,$29.72 ,40,Salary,62817.6,63,Sales,Female,Married,4,25,Mail Check,Yes
2443,43,7,Yes,$35.06 ,40,Salary,72924.8,-10,Laboratory,Male,Married,5,7,Direct_Deposit,Yes
2444,28,5,No,$25.08 ,40,Salary,52166.4,72,Sales,Female,Divorced,2,N/A,Mailed Check,Yes
2445,47,6,Yes,$44.82 ,40,Salary,93225.6,7,Manufacturing,Female,Divorced,1,23,Mailed Check,Yes
2446,32,1,Yes,$25.10 ,40,Salary,52208,39,Manufacturing,Female,Divorced,3,21,Mail Check,Yes
2447,53,18,No,$50.91 ,40,Salary,105892.8,54,Healthcare,Female,Divorced,4,N/A,Direct_Deposit,Yes
2448,37,5,Yes,$49.24 ,40,Salary,102433.2,66,Human Resources,Female,Married,6,21,Mail Check,Yes
2449,41,1,No,$33.97 ,40,Salary,41537.6,61,Research,Female,Divorced,1,17,Direct_Deposit,N/A
2450,43,3,No,$55.43 ,40,Salary,115294.4,52,Manufacturing,Male,Divorced,6,25,Mailed Check,Yes
2451,37,9,No,$28.16 ,40,Salary,58572.8,53,Laboratory,Female,Married,6,18,Mail Check,Yes
2452,21,1,Yes,$21.53 ,40,Salary,3782.4,49,Research,Male,Married,3,18,Direct_Deposit,N/A
2453,38,3,No,$52.01 ,40,Salary,108280.8,1,Sales,Female,Single,1,17,Mail Check,N/A
2454,36,2,Yes,$30.50 ,40,Salary,63440,71,Marketing,Male,Single,3,6,Direct Deposit,Yes
2455,48,15,No,$83.84 ,40,Salary,174387.2,21,Information Technology,Prefer Not to Answer,Divorced,5,21,Mail Check,Yes
2456,40,5,No,$39.24 ,40,Salary,81633.2,44,Research,Male,Married,5,N/A,Direct_Deposit,Yes
2457,49,15,No,$69.28 ,40,Salary,143894.4,73,Healthcare,Male,Divorced,8,N/A,DirectDeposit,Yes
2458,45,6,Yes,$53.34 ,40,Salary,110947.2,72,Laboratory,Female,Single,N/A,N/A,Direct_Deposit,N/A
2459,48,16,Yes,$71.24 ,40,Salary,148179.2,47,Sales,Female,Married,9,21,Mailed Check,Yes
2460,42,6,No,$51.29 ,40,Salary,106683.2,2,Sales,Male,Divorced,4,10,Mail Check,Yes
2461,57,18,No,$53.10 ,40,Salary,110448,26,Sales,Female,Single,3,8,Mailed Check,N/A
2462,52,12,No,$48.38 ,40,Salary,100630.4,56,Sales,Female,Married,7,11,Direct_Deposit,Yes
2463,48,11,No,$88.92 ,40,Salary,284953.6,-7,Research,Female,Married,3,N/A,DirectDeposit,Yes
2464,42,3,Yes,$41.03 ,40,Salary,85342.4,10,Research,Male,Single,8,17,Direct_Deposit,Yes
2465,60,13,Yes,$83.52 ,40,Salary,173721.6,44,Healthcare,Male,Married,1,11,Mail Check,Yes
2466,42,5,No,$87.14 ,40,Salary,281251.2,-12,Information Technology,Female,Married,4,N/A,Mail Check,Yes
